¤u¼t¦WºÙ,¤u¼tµn°O½s¸¹,¤u¼t³]¥ß³\¥i®×¸¹,¤u¼t¦a§},¤u¼t¥«Âí¶m§ø¨½,¤u¼t­t³d¤H©m¦W,²Î¤@½s¸¹,¤u¼t²ÕÂ´«¬ºA,¤u¼t³]¥ß®Ö­ã¤é´Á,¤u¼tµn°O®Ö­ã¤é´Á,¤u¼tµn°Oª¬ºA,²£·~Ãþ§O,¥D­n²£«~
°ª¦¨Àô«O¦³­­¤½¥q,66006335,,»O¤¤¥«¤Ó¥­°Ï¥ú¶©¨½ªF¥úµó16¸¹,»O¤¤¥«¤Ó¥­°Ï¥ú¶©¨½,¸­©À¯ª,63733501,¦³­­¤½¥q,,1070411,¥Í²£¤¤,14¤ì¦Ë»s«~»s³y·~,140¤ì¦Ë»s«~
¼s·½¦³­­¤½¥q,99670149,8.31002E+12,»O¤¤¥««n¤Ù°Ï¥Ã©w¨½¤å©÷µó228«Ñ66¸¹,»O¤¤¥««n¤Ù°Ï¥Ã©w¨½,¿à²Q«¸,84955275,¦³­­¤½¥q,830930,831012,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó
©y³Ó¾ó½¦ªÑ¥÷¦³­­¤½¥q,65010097,,·s¥_¥«·s²ø°Ï¦è²±¨½¥Á¦w¸ô403«Ñ1¸¹(1¼Ó),·s¥_¥«·s²ø°Ï¦è²±¨½,¥Û¦¿±m¤k,22767610,ªÑ¥÷¦³­­¤½¥q,,1110107,¥Í²£¤¤,21¾ó½¦»s«~»s³y·~,210¾ó½¦»s«~
ÝõÀB¬ì§ÞªÑ¥÷¦³­­¤½¥q,99642823,8.71001E+12,»O¤¤¥«¯«©£°Ï¥_ÉÜ¨½¤¤¤s¸ô1010«Ñ1-6¸¹,»O¤¤¥«¯«©£°Ï¥_ÉÜ¨½,³¢°ê½÷,16570961,ªÑ¥÷¦³­­¤½¥q,871109,871218,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¦Ì­{±M·~¯MµH¦³­­¤½¥q,65009841,,·s¥_¥«¤g«°°Ï¤j¦w¨½©Ó¤Ñ¸ô8«Ñ8¸¹(2¼Ó),·s¥_¥«¤g«°°Ï¤j¦w¨½,¼B®aªl,80471642,¦³­­¤½¥q,,1101007,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
¨©º¸«Â°Ç¹q¤lªÑ¥÷¦³­­¤½¥q¥­Âí¼t,68004486,,®ç¶é¥«¥­Âí°Ï«Ø¦w¨½¥­ªF¸ô659«Ñ31¸¹(B1¡B1¡B2¡B3¡B7¼Ó),®ç¶é¥«¥­Âí°Ï«Ø¦w¨½,®}·ç·ë,28756169,ªÑ¥÷¦³­­¤½¥q,,1101006,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó
­ZÂ×ºë±K¤u·~ªÑ¥÷¦³­­¤½¥q¤K¼w¼t,68003934,,®ç¶é¥«¤K¼w°Ï¤jÙõ¨½©M¥­¸ô1125«Ñ17¸¹,®ç¶é¥«¤K¼w°Ï¤jÙõ¨½,³¯¥x§Ó,43945773,ªÑ¥÷¦³­­¤½¥q,,1100209,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó¡B277¥ú¾Ç»ö¾¹¤Î³]³Æ¡B303¨T¨®¹s¥ó
«a®æ¬ì§ÞªÑ¥÷¦³­­¤½¥q¤T¼t,68000468,,®ç¶é¥«·¨±ö°Ï·ç©W¨½±ö·à¸ô¤G¬q460¸¹,®ç¶é¥«·¨±ö°Ï·ç©W¨½,´¿´I´Å,28332774,ªÑ¥÷¦³­­¤½¥q,,1050116,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
·½¤Í¥ø·~ªÑ¥÷¦³­­¤½¥q¥­Âí¼t,3002243,,®ç¶é¥«¥­Âí°Ï´éÂ×¨½¤u·~¤­¸ô8¸¹,®ç¶é¥«¥­Âí°Ï´éÂ×¨½,§õ´fªÛ,43953288,ªÑ¥÷¦³­­¤½¥q,,1030428,¥Í²£¤¤,08­¹«~»s³y·~¡B09¶¼®Æ»s³y·~,086½VâB¡B¿i¯»¤Î¾ý¯»»s«~¡B089¨ä¥L­¹«~¡B092«D°sºë¶¼®Æ
¶W¤H¥Í§Þ¦³­­¤½¥q,7004881,1.111E+13,¹ü¤Æ¿¤®HÆQ¶m®H«n§ø®Hµæ¸ô67¸¹,¹ü¤Æ¿¤®HÆQ¶m®H«n§ø,¶À¬F»¨,90508181,¦³­­¤½¥q,1110822,1110902,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
«a¹ü¤u·~¦³­­¤½¥q,7004461,,¹ü¤Æ¿¤³À´äÂíªF¥Û¨½Àô¤u¤»¸ô3¸¹,¹ü¤Æ¿¤³À´äÂíªF¥Û¨½,¾G·çÁo,58582200,¦³­­¤½¥q,,1100907,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
ª÷ÐAºë±KªÑ¥÷¦³­­¤½¥q¤¤²M¼t,66010263,,»O¤¤¥«¤j¶®°Ï¥|¼w¨½¤¤¤s¤K¸ô128¤§1¸¹,»O¤¤¥«¤j¶®°Ï¥|¼w¨½,±iÄ_®m,55912488,ªÑ¥÷¦³­­¤½¥q,,1111006,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ
¤W®ü¦L¨ê¼tªÑ¥÷¦³­­¤½¥q,99609182,8.71E+12,·s¥_¥«¤g«°°Ï³»®H¨½¤j·x¸ô71¸¹,·s¥_¥«¤g«°°Ï³»®H¨½,¥ª¯Ç¼w,4219232,ªÑ¥÷¦³­­¤½¥q,871209,890818,¥Í²£¤¤,16¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s·~,160¦L¨ê¤Î¸ê®ÆÀx¦s´CÅé½Æ»s
¥¨¸Ú¹ê·~¦³­­¤½¥q²`§|¼t,99616976,8.91E+12,·s¥_¥«²`§|°Ï¸U¶¶¨½¥_²`¸ô¤T¬q¤@¤­¤T¸¹¤G¼Ó,·s¥_¥«²`§|°Ï¸U¶¶¨½,¸â¶®¼z,16300192,¦³­­¤½¥q,891030,891215,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
©M¦n¥ø·~ªÑ¥÷¦³­­¤½¥q,64009098,,°ª¶¯¥««eÂí°Ï«H¸q¨½·s¸Å¸ô286-7¸¹4¼Ó-1,°ª¶¯¥««eÂí°Ï«H¸q¨½,³¯Â×¥Ý,90846599,ªÑ¥÷¦³­­¤½¥q,,1100812,¥Í²£¤¤,33¨ä¥L»s³y·~,332ÂåÀø¾¹§÷¤Î¥Î«~
¼í®õ¥þ²yªÑ¥÷¦³­­¤½¥q·¨±ö¤G¼t,99625257,8.31E+12,®ç¶é¥«·¨±ö°Ï¤W´ò¨½4¾F®õ¦`¸ô1440¸¹,®ç¶é¥«·¨±ö°Ï¤W´ò¨½,®}²±¨|¡@¡@¡@,14053007,ªÑ¥÷¦³­­¤½¥q,831208,840609,¥Í²£¤¤,11¯¼Â´·~,115¯¼Â´«~
êM½÷¥ø·~ªÑ¥÷¦³­­¤½¥q¾÷±ñ¼t,99661358,7.81001E+12,°ª¶¯¥«¾ôÀY°Ï¨¡¼d¨½¨¡¼d¸ô¢±¢¸¢¶¤§¢±¡B¢±¢¸¢¶¤§¢²¡B¢±¢¸¢¶¤§¢´¸¹,°ª¶¯¥«¾ôÀY°Ï¨¡¼d¨½,ªL¸q¦u,75947936,ªÑ¥÷¦³­­¤½¥q,791231,791231,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ
¾Ë®p¥ø·~ªÑ¥÷¦³­­¤½¥q,99679128,,¹ü¤Æ¿¤³À´äÂí®ü®H¨½Àô¤u¤C¸ô¢´¸¹,¹ü¤Æ¿¤³À´äÂí®ü®H¨½,±iª÷¦¨,12772620,ªÑ¥÷¦³­­¤½¥q,,920630,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
«ÂÁp³q¬ì§ÞªÑ¥÷¦³­­¤½¥q¤C°ô¤G¼t,17000096,,°ò¶©¥«¤C°ô°Ï¤»°ô¨½¤u«Ø¥_¸ô26¸¹1¼Ó,°ò¶©¥«¤C°ô°Ï¤»°ô¨½,³¢³Õ¹F,80682695,ªÑ¥÷¦³­­¤½¥q,,1080201,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B272³q°T¶Ç¼½³]³Æ¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ
à±ªø¬ì§Þ¦³­­¤½¥q,7004442,,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø¹üÀØ¦è¤@¸ô7¸¹¡B12¸¹,¹ü¤Æ¿¤½u¦è¶m·¾¤º§ø,»¯«a¦Ü,12733541,¦³­­¤½¥q,,1100826,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,239¨ä¥L«Dª÷ÄÝÄqª«»s«~
ªF«n¹ê·~ªÑ¥÷¦³­­¤½¥qÄ¬¿DÁ`¼tÆQ»Ä¤u¼t,2000208,,©yÄõ¿¤Ä¬¿DÂí·s«°¨½·s«°¤@¸ô120¸¹,©yÄõ¿¤Ä¬¿DÂí·s«°¨½,¥Û¸f½÷,11384405,ªÑ¥÷¦³­­¤½¥q,,1050118,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
ºëÑh¤u·~¦³­­¤½¥q,7004443,,¹ü¤Æ¿¤©M¬üÂí¤jÁø¨½¹Å¦ú¸ô605-12¸¹,¹ü¤Æ¿¤©M¬üÂí¤jÁø¨½,¤ý¼ü¯u,56630043,¦³­­¤½¥q,,1100826,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ
±dª÷¦³­­¤½¥q,65009729,,·s¥_¥«·s©±°Ï¼w¦w¨½¦w¼wµó156¸¹4¼Ó,·s¥_¥«·s©±°Ï¼w¦w¨½,Ä¬Þ}ÄÁ,83704286,¦³­­¤½¥q,,1100826,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,284·Ó©ú³]³Æ¤Î°t³Æ
¬LËÈ¤Æ¤u¦³­­¤½¥q,64006366,,°ª¶¯¥«¤j¼d°Ï¤j¼d¨½µØ¦è¸ô¢²¢·¤§¢°¸¹¢°¼Ó,°ª¶¯¥«¤j¼d°Ï¤j¼d¨½,½²«Ø¦ö,28584384,¦³­­¤½¥q,,1000927,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,184¶ì½¦¤Î¦X¦¨¾ó½¦­ì®Æ
±Ò¿³ºë±K¤u·~ªÑ¥÷¦³­­¤½¥q,99635047,8.21001E+12,»O¤¤¥«¤j¨½°Ï·s¤¯¨½¤½±Ðµó131«Ñ1¸¹,»O¤¤¥«¤j¨½°Ï·s¤¯¨½,¶À«a¾ì,86806981,ªÑ¥÷¦³­­¤½¥q,820908,820920,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B291ª÷ÄÝ¥[¤u¥Î¾÷±ñ³]³Æ
¾«¾W¤ÆùÛ«~¦³­­¤½¥q,99601056,7.61E+12,·s¥_¥«¦Á¤î°Ïªø¦w¨½¶mªø¸ô¤@¬q¤G¤K¤C¸¹¤T¡B¥|¡B¤­¼Ó,·s¥_¥«¦Á¤î°Ïªø¦w¨½,¦¿Ä£ÅL,84885813,¦³­­¤½¥q,760721,780915,¥Í²£¤¤,19¨ä¥L¤Æ¾Ç»s«~»s³y·~,193²M¼ä¥Î«~¤Î¤ÆùÛ«~
¤j¤è½u¯Á¤u·~ªÑ¥÷¦³­­¤½¥q,99661221,7.31001E+12,°ª¶¯¥«¤j¼d°Ï¤j¼d¨½¿³·~¸ô¢°¢°¸¹,°ª¶¯¥«¤j¼d°Ï¤j¼d¨½,§õºû¶v,82103383,ªÑ¥÷¦³­­¤½¥q,791231,791231,¥Í²£¤¤,11¯¼Â´·~,115¯¼Â´«~
¨}«~½`·~ªÑ¥÷¦³­­¤½¥q,99605415,7.71E+12,·s¥_¥«Åaºq°Ï¦èÅa¨½¤¤¤s¸ô166«Ñ14¸¹,·s¥_¥«Åaºq°Ï¦èÅa¨½,¤ýªQ²M,22585576,ªÑ¥÷¦³­­¤½¥q,770205,770317,¥Í²£¤¤,23«Dª÷ÄÝÄqª«»s«~»s³y·~,232­@¤õ¡BÂH¤g«Ø§÷¤Î¨ä¥L³³²¡»s«~¡B239¨ä¥L«Dª÷ÄÝÄqª«»s«~
´Ë®æ¬ì§Þ¦³­­¤½¥q¤¤Ãc¼t,68004312,,®ç¶é¥«¤¤Ãc°Ï¤º©w¨½¦X©w¸ô25¸¹(1¼Ó),®ç¶é¥«¤¤Ãc°Ï¤º©w¨½,ªL¦wÀÜ,28468435,¦³­­¤½¥q,,1100721,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó
¤¸¤s¬ì§Þ¤u·~ªÑ¥÷¦³­­¤½¥q,99663730,7.61001E+12,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½»ñ¤¯¸ô329¸¹,°ª¶¯¥«¤¯ªZ°Ï¦Ë«á¨½,³¯«a§»,22264722,ªÑ¥÷¦³­­¤½¥q,791231,791231,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,293³q¥Î¾÷±ñ³]³Æ¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B285®a¥Î¹q¾¹¡B284·Ó©ú³]³Æ¤Î°t³Æ
¹dªY¤M¼Ò¥ø·~ªÀ,66009351,,»O¤¤¥«¤j¨½°Ï¥ß¼w¨½¥ß¤¯¤@¸ô178«Ñ21§Ë6¸¹1¼Ó,»O¤¤¥«¤j¨½°Ï¥ß¼w¨½,­ðºa¬Â,45353703,¿W¸ê,,1100802,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B22¶ì½¦»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B220¶ì½¦»s«~
¥\±o¹q¤l¤u·~ªÑ¥÷¦³­­¤½¥q,63020073,7.663E+12,»O¥_¥«¥_§ë°Ï¤@¼w¨½¥ß¼w¸ô¤@¤G¢¯«Ñ¤Q¤­¸¹¤@¦Ü¥|¼Ó,»O¥_¥«¥_§ë°Ï¤@¼w¨½,ªôÂE´¼,31291411,ªÑ¥÷¦³­­¤½¥q,760805,771201,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,269¨ä¥L¹q¤l¹s²Õ¥ó¡B262³Q°Ê¹q¤l¤¸¥ó¡B281µo¹q¡B¿é¹q¤Î°t¹q¾÷±ñ
¥x¦w«×¶q¿Å¾¹¦³­­¤½¥q,99624908,8.31E+12,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½µØ±dµó¢±¢¯¢³¡Ð¢°¸¹,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½,³\²QÎd¡@,45087614,¦³­­¤½¥q,830131,850702,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,275¶q´ú¡B¾É¯è¡B±±¨î³]³Æ¤ÎÄÁ¿ö
¤­®õ¤å¨ã§÷®Æ¦³­­¤½¥q,63021575,6.463E+12,»O¥_¥«¤¤¥¿°Ï«nºÖ¨½Ã¹´µºÖ¸ô¤G¬q¤K«Ñ¤T¸¹¤@¼Ó,»O¥_¥«¤¤¥¿°Ï«nºÖ¨½,ªL±Rºa,4629186,¦³­­¤½¥q,641129,650301,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¨Î¦¨­¹«~¼t,63020356,6.063E+12,»O¥_¥««H¸q°Ï¤»¦X¨½«H¸q¸ô¤­¬q¤@¤­¢¯«Ñ¤T¤E¤»¸¹¤@¼Ó,»O¥_¥««H¸q°Ï¤»¦X¨½,·¨²KµO,20677493,¿W¸ê,600731,600901,¥Í²£¤¤,08­¹«~»s³y·~,083½­ªG¥[¤u¡B086½VâB¡B¿i¯»¤Î¾ý¯»»s«~
·ç³q¹q¾¹¤u·~ªÑ¥÷¦³­­¤½¥q,63020130,6.863E+12,»O¥_¥«¸UµØ°Ï©¾¼w¨½Ä_¿³µó¤@¢¯¤T¸¹¤@¼Ó,»O¥_¥«¸UµØ°Ï©¾¼w¨½,§õ¸U¬K,15844859,ªÑ¥÷¦³­­¤½¥q,681108,681122,¥Í²£¤¤,27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,272³q°T¶Ç¼½³]³Æ
±¶¸ô¦w°ê»Ú¦³­­¤½¥q,99627910,8.61E+12,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½Ä_Â×µó¤@¤­«Ñ¤G§Ë¤@¤@ÛÁ¤G¢¯¸¹,®ç¶é¥«¤K¼w°Ï­XÐ¤¨½,¶À¬ü¬Â¡@¡@¡@,97405415,¦³­­¤½¥q,861023,870209,¥Í²£¤¤,30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~,303¨T¨®¹s¥ó¡B293³q¥Î¾÷±ñ³]³Æ
¹´?¥ø·~ªÑ¥÷¦³­­¤½¥q,63021457,7.163E+12,»O¥_¥««n´ä°Ï¥É¦¨¨½«n´ä¸ô¤T¬q¤@¥|¤E«Ñ¥|¤Q¤E§Ë¤G¸¹¤@¡B¤G¡B¤T¼Ó,»O¥_¥««n´ä°Ï¥É¦¨¨½,³¯®a¼ý,11829322,ªÑ¥÷¦³­­¤½¥q,710316,720124,¥Í²£¤¤,33¨ä¥L»s³y·~,339¥¼¤ÀÃþ¨ä¥L»s«~
¤@«~¥ú¾Ç¤u·~ªÑ¥÷¦³­­¤½¥q¥_§ë¼t,63021226,,»O¥_¥«¥_§ë°Ï¤K¥P¨½¤j·~¸ô¤@¤»¢¯¡B¤@¤»¤G¸¹¡B¤@¤»¢¯¸¹¤G¼Ó,»O¥_¥«¥_§ë°Ï¤K¥P¨½,´¿©ú¤¯,35977856,ªÑ¥÷¦³­­¤½¥q,,911225,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B27¹q¸£¡B¹q¤l²£«~¤Î¥ú¾Ç»s«~»s³y·~,251ª÷ÄÝ¤M¨ã¡B¤â¤u¨ã¤Î¼Ò¨ã¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B271¹q¸£¤Î¨ä¶gÃä³]³Æ¡B272³q°T¶Ç¼½³]³Æ¡B277¥ú¾Ç»ö¾¹¤Î³]³Æ
¼w¨Î¿ûÅK¦³­­¤½¥q¤º´ò¼t,63022245,,»O¥_¥«¤º´ò°ÏÄª¬w¨½¦w±d¸ô¤@¥|¤C¸¹,»O¥_¥«¤º´ò°ÏÄª¬w¨½,¼B¿ü½\,21230794,¦³­­¤½¥q,,1010515,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,254ª÷ÄÝ¥[¤u³B²z
¥i¦¨¥Íª«¬ì§ÞªÑ¥÷¦³­­¤½¥q,94A00428,,«n³¡¬ì¾Ç¶é°Ï°ª¶¯¥«¸ô¦Ë°Ï¸ô¬ì¤G¸ô57¸¹1¼Ó,°ª¶¯¥«¸ô¦Ë°Ï¥_À­¨½,¼B¥Ã¶©,24923460,ªÑ¥÷¦³­­¤½¥q,,1060526,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~¡B25ª÷ÄÝ»s«~»s³y·~¡B33¨ä¥L»s³y·~,220¶ì½¦»s«~¡B254ª÷ÄÝ¥[¤u³B²z¡B259¨ä¥Lª÷ÄÝ»s«~¡B332ÂåÀø¾¹§÷¤Î¥Î«~
?»¨¥ø·~ªÀ,66009500,,»O¤¤¥«¼æ¤l°Ï¤jÂ×¨½¼æ´I¸ô¤G¬q86«Ñ10¸¹1¼Ó,»O¤¤¥«¼æ¤l°Ï¤jÂ×¨½,¦¿©øÂ@,87122830,¿W¸ê,,1100917,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B30¨T¨®¤Î¨ä¹s¥ó»s³y·~¡B31¨ä¥L¹B¿é¤u¨ã¤Î¨ä¹s¥ó»s³y·~,254ª÷ÄÝ¥[¤u³B²z¡B292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B303¨T¨®¹s¥ó¡B313¦Û¦æ¨®¤Î¨ä¹s¥ó
º~½U¬ì§ÞªÑ¥÷¦³­­¤½¥q¬ãµo¼t,95C01347,,·s¦Ë¬ì¾Ç¶é°Ï·s¦Ë¿¤Ä_¤s¶m³Ð·s¤@¸ô18¸¹,·s¦Ë¿¤Ä_¤s¶m,®}«ØµØ,54389725,ªÑ¥÷¦³­­¤½¥q,,750113,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,261¥b¾ÉÅé
·s·½­¹«~¦³­­¤½¥q¿P±_¼t,64009111,,°ª¶¯¥«¿P±_°Ï¦w©Û¨½¦w©Û¸ô447¸¹1¼Ó,°ª¶¯¥«¿P±_°Ï¦w©Û¨½,ªôÄ£©v,54216576,¦³­­¤½¥q,,1100830,¥Í²£¤¤,08­¹«~»s³y·~,089¨ä¥L­¹«~
®Ê¥°±j¤Æ¶ì½¦¥ø·~¦æ©£¤s¼t,64009050,,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½©£¤s¥_¸ô22-18¸¹,°ª¶¯¥«©£¤s°ÏÆW¸Ì¨½,Ä¬§d´º?,13899288,¦X¹Ù,,1100617,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
´ËªL¤u·~ªÑ¥÷¦³­­¤½¥q¤u¼t,99651802,8.81001E+12,¹ü¤Æ¿¤¤G¤ô¶m¸Î¥Á§ø«n³q¸ô¢±¬q¢³¢¶¢±«Ñ¢µ¢³¸¹,¹ü¤Æ¿¤¤G¤ô¶m¸Î¥Á§ø,¿à´¼«T,22058363,ªÑ¥÷¦³­­¤½¥q,880202,880209,¥Í²£¤¤,28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,285®a¥Î¹q¾¹
§õ¬w¬ì§ÞªÑ¥÷¦³­­¤½¥qÀt¤s¼t,99621713,8.51E+12,®ç¶é¥«Àt¤s°Ï¤s³»¨½¤sÅa¸ô348¸¹(5¡B7¡B8¼Ó),®ç¶é¥«Àt¤s°Ï¤s³»¨½,§õ©ú¶¶¡@¡@¡@,4541794,ªÑ¥÷¦³­­¤½¥q,850527,850604,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~¡B29¾÷±ñ³]³Æ»s³y·~¡B26¹q¤l¹s²Õ¥ó»s³y·~¡B22¶ì½¦»s«~»s³y·~¡B28¹q¤O³]³Æ¤Î°t³Æ»s³y·~,259¨ä¥Lª÷ÄÝ»s«~¡B293³q¥Î¾÷±ñ³]³Æ¡B269¨ä¥L¹q¤l¹s²Õ¥ó¡B220¶ì½¦»s«~¡B285®a¥Î¹q¾¹
¤T®pÅK¤u¼t,99672801,7.31002E+12,¹Å¸q¥«ªF°Ï«á´ò¨½«O¸q¸ô¢±¢³¢µ«Ñ¢°¢´¸¹,¹Å¸q¥«ªF°Ï«á´ò¨½,¸­Ä£¤å,66658651,¿W¸ê,731024,750116,¥Í²£¤¤,25ª÷ÄÝ»s«~»s³y·~,259¨ä¥Lª÷ÄÝ»s«~
¶ø­}®¦¬ì§ÞªÑ¥÷¦³­­¤½¥q,S6500524,,·s¥_¥«·s²ø°Ï¦è²±¨½¥Á¦w¦è¸ô403«Ñ19¸¹,·s¥_¥«·s²ø°Ï¦è²±¨½,¦¶¹F¸q,12897608,ªÑ¥÷¦³­­¤½¥q,,1110318,¥Í²£¤¤,29¾÷±ñ³]³Æ»s³y·~,292¨ä¥L±M¥Î¾÷±ñ³]³Æ¡B293³q¥Î¾÷±ñ³]³Æ
Âù´I¤u·~ªÑ¥÷¦³­­¤½¥q,7004267,1.101E+13,¹ü¤Æ¿¤ªÚ­b¶m«á¼d§ø¤u°Ï¤C¸ô3¸¹,¹ü¤Æ¿¤ªÚ­b¶m«á¼d§ø,¬x¬Â¯],45190309,ªÑ¥÷¦³­­¤½¥q,1100505,1100528,¥Í²£¤¤,22¶ì½¦»s«~»s³y·~,220¶ì½¦»s«~
¥ßÂ×¬´»ÄªÑ¥÷¦³­­¤½¥q­]®ß¤u¼t,99632503,5.8101E+12,­]®ß¿¤­]®ß¥«ºÖ¦w¨½28¾FºÖ¬P239¤§5¸¹,­]®ß¿¤­]®ß¥«ºÖ¦w¨½,±i´¼°í,49767698,ªÑ¥÷¦³­­¤½¥q,661110,680621,¥Í²£¤¤,18¤Æ¾Ç§÷®Æ¤ÎªÎ®Æ»s³y·~,181¤Æ¾Ç­ì§÷®Æ
¤é¥¿­¹«~¤u·~ªÑ¥÷¦³­­¤½¥q«n±^¤G¼t,8000237,,«n§ë¿¤«n§ë¥«¥ÃÂ×¨½¤u·~¥_¸ô32¸¹,«n§ë¿¤«n§ë¥«¥ÃÂ×¨½,¼B¼y°ó,22425683,ªÑ¥÷¦³­­¤½¥q,,1060808,¥Í²£¤¤,08­¹«~»s³y·~,086½VâB¡B¿i¯»¤Î¾ý¯»»s«~¡B089¨ä¥L­¹«~
Îë¹B¹q¤lªÑ¥÷¦³­­¤½¥q,99706479,,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½ªoºÞ¸ô¤@¬q696¸¹,®ç¶é¥«Äª¦Ë°Ï¤º­í¨½,§õ­»¬Â,89640232,ªÑ¥÷¦³­­¤½¥q,,950726,¥Í²£¤¤,26¹q¤l¹s²Õ¥ó»s³y·~,263¦L¨ê¹q¸ôªO
